Id,Source,Target
0,1950,1950s
1,1950,1950s
2,1951,1950s
3,1951,1950s
4,1952,1950s
5,1952,1950s
6,1953,1950s
7,1953,1950s
8,1954,1950s
9,1954,1950s
10,1955,1950s
11,1955,1950s
12,1956,1950s
13,1956,1950s
14,1957,1950s
15,1957,1950s
16,1958,1950s
17,1958,1950s
18,1959,1950s
19,1959,1950s
20,1960,1960s
21,1960,1960s
22,1961,1960s
23,1961,1960s
24,1962,1960s
25,1962,1960s
26,1963,1960s
27,1963,1960s
28,1964,1960s
29,1964,1960s
30,1965,1960s
31,1965,1960s
32,1966,1960s
33,1966,1960s
34,1967,1960s
35,1967,1960s
36,1968,1960s
37,1968,1960s
38,1969,1960s
39,1969,1960s
40,1970,1970s
41,1970,1970s
42,1971,1970s
43,1971,1970s
44,1972,1970s
45,1972,1970s
46,1973,1970s
47,1973,1970s
48,1974,1970s
49,1974,1970s
50,1975,1970s
51,1975,1970s
52,1976,1970s
53,1976,1970s
54,1977,1970s
55,1977,1970s
56,1978,1970s
57,1978,1970s
58,1979,1970s
59,1979,1970s
60,1980,1980s
61,1980,1980s
62,1981,1980s
63,1981,1980s
64,1982,1980s
65,1982,1980s
66,1983,1980s
67,1983,1980s
68,1984,1980s
69,1984,1980s
70,1985,1980s
71,1985,1980s
72,1986,1980s
73,1986,1980s
74,1987,1980s
75,1987,1980s
76,1988,1980s
77,1988,1980s
78,1989,1980s
79,1989,1980s
80,1990,1990s
81,1990,1990s
82,1991,1990s
83,1991,1990s
84,1992,1990s
85,1992,1990s
86,1993,1990s
87,1993,1990s
88,1994,1990s
89,1994,1990s
90,1995,1990s
91,1995,1990s
92,1996,1990s
93,1996,1990s
94,1997,1990s
95,1997,1990s
96,1998,1990s
97,1998,1990s
98,1999,1990s
99,1999,1990s
100,2000,2000s
101,2000,2000s
102,2001,2000s
103,2001,2000s
104,2002,2000s
105,2002,2000s
106,2003,2000s
107,2003,2000s
108,2004,2000s
109,2004,2000s
110,2005,2000s
111,2005,2000s
112,2006,2000s
113,2006,2000s
114,2007,2000s
115,2007,2000s
116,2008,2000s
117,2008,2000s
118,2009,2000s
119,2009,2000s
120,2010,2010s
121,2010,2010s
122,2011,2010s
123,2011,2010s
124,2012,2010s
125,2012,2010s
126,2013,2010s
127,2013,2010s
128,2014,2010s
129,2014,2010s
130,2015,2010s
131,2015,2010s
132,2016,2010s
133,2016,2010s
134,2017,2010s
135,2017,2010s
136,2018,2010s
137,2018,2010s
138,Goodnight Irene,1950
139,Mona Lisa,1950
140,Too Young,1951
141,Because of You,1951
142,Blue Tango,1952
143,Wheel of Fortune,1952
144,The Song from Moulin Rouge,1953
145,Vaya con Dios,1953
146,Little Things Mean a Lot,1954
147,Wanted,1954
148,Cherry Pink And Apple Blossom White,1955
149,Rock Around the Clock,1955
150,Heartbreak Hotel,1956
151,Don't Be Cruel,1956
152,All Shook Up,1957
153,Love Letters in the Sand,1957
154,Volare (Nel blu dipinto di blu),1958
155,All I Have to Do Is Dream / Claudette,1958
156,The Battle of New Orleans,1959
157,Mack the Knife,1959
158,Theme from A Summer Place,1960
159,He'll Have to Go,1960
160,Tossin' and Turnin',1961
161,I Fall to Pieces,1961
162,Stranger on the Shore,1962
163,I Can't Stop Loving You,1962
164,Surfin' U.S.A.,1963
165,The End of the World,1963
166,I Want to Hold Your Hand,1964
167,She Loves You,1964
168,Wooly Bully,1965
169,I Can't Help Myself (Sugar Pie Honey Bunch),1965
170,California Dreamin',1966
171,96 Tears,1966
172,To Sir With Love,1967
173,The Letter,1967
174,Hey Jude,1968
175,Love is Blue,1968
176,"Sugar, Sugar",1969
177,Aquarius/Let the Sunshine In,1969
178,Bridge Over Troubled Water,1970
179,(They Long to Be) Close to You,1970
180,Joy to the World,1971
181,Maggie May/Reason to Believe,1971
182,The First Time Ever I Saw Your Face,1972
183,Alone Again (Naturally),1972
184,Tie a Yellow Ribbon Round the Ole Oak Tree,1973
185,"Bad, Bad Leroy Brown",1973
186,The Way We Were,1974
187,Seasons in the Sun,1974
188,Love Will Keep Us Together,1975
189,Rhinestone Cowboy,1975
190,Silly Love Songs,1976
191,Don't Go Breaking My Heart,1976
192,Tonight's the Night (Gonna Be Alright),1977
193,I Just Want to Be Your Everything,1977
194,Shadow Dancing,1978
195,Night Fever,1978
196,My Sharona,1979
197,Bad Girls,1979
198,Call Me,1980
199,"Another Brick in the Wall, Part II",1980
200,Bette Davis Eyes,1981
201,Endless Love,1981
202,Physical,1982
203,Eye of the Tiger,1982
204,Every Breath You Take,1983
205,Billie Jean,1983
206,When Doves Cry,1984
207,What's Love Got to Do with It,1984
208,Careless Whisper,1985
209,Like a Virgin,1985
210,That's What Friends Are For,1986
211,"Say You, Say Me",1986
212,Walk Like an Egyptian,1987
213,Alone,1987
214,Faith,1988
215,Need You Tonight,1988
216,Look Away,1989
217,My Prerogative,1989
218,Hold On,1990
219,It Must Have Been Love,1990
220,(Everything I Do) I Do It for You,1991
221,I Wanna Sex You Up,1991
222,End of the Road,1992
223,Baby Got Back,1992
224,I Will Always Love You,1993
225,Whoomp! (There It Is),1993
226,The Sign,1994
227,I Swear,1994
228,Gangsta's Paradise,1995
229,Waterfalls,1995
230,Macarena (Bayside Boys Mix),1996
231,One Sweet Day,1996
232,Something About the Way You Look Tonight / Candle in the Wind 1997,1997
233,Foolish Games / You Were Meant for Me,1997
234,Too Close,1998
235,The Boy Is Mine,1998
236,Believe,1999
237,No Scrubs,1999
238,Breathe,2000
239,Smooth,2000
240,Hanging by a Moment,2001
241,Fallin',2001
242,How You Remind Me,2002
243,Foolish,2002
244,In Da Club,2003
