Id,Label,Type,Int Type
1950s,1950s,Decade,4
1960s,1960s,Decade,4
1970s,1970s,Decade,4
1980s,1980s,Decade,4
1990s,1990s,Decade,4
2000s,2000s,Decade,4
2010s,2010s,Decade,4
1950,1950,Year,3
1951,1951,Year,3
1952,1952,Year,3
1953,1953,Year,3
1954,1954,Year,3
1955,1955,Year,3
1956,1956,Year,3
1957,1957,Year,3
1958,1958,Year,3
1959,1959,Year,3
1960,1960,Year,3
1961,1961,Year,3
1962,1962,Year,3
1963,1963,Year,3
1964,1964,Year,3
1965,1965,Year,3
1966,1966,Year,3
1967,1967,Year,3
1968,1968,Year,3
1969,1969,Year,3
1970,1970,Year,3
1971,1971,Year,3
1972,1972,Year,3
1973,1973,Year,3
1974,1974,Year,3
1975,1975,Year,3
1976,1976,Year,3
1977,1977,Year,3
1978,1978,Year,3
1979,1979,Year,3
1980,1980,Year,3
1981,1981,Year,3
1982,1982,Year,3
1983,1983,Year,3
1984,1984,Year,3
1985,1985,Year,3
1986,1986,Year,3
1987,1987,Year,3
1988,1988,Year,3
1989,1989,Year,3
1990,1990,Year,3
1991,1991,Year,3
1992,1992,Year,3
1993,1993,Year,3
1994,1994,Year,3
1995,1995,Year,3
1996,1996,Year,3
1997,1997,Year,3
1998,1998,Year,3
1999,1999,Year,3
2000,2000,Year,3
2001,2001,Year,3
2002,2002,Year,3
2003,2003,Year,3
2004,2004,Year,3
2005,2005,Year,3
2006,2006,Year,3
2007,2007,Year,3
2008,2008,Year,3
2009,2009,Year,3
2010,2010,Year,3
2011,2011,Year,3
2012,2012,Year,3
2013,2013,Year,3
2014,2014,Year,3
2015,2015,Year,3
2016,2016,Year,3
2017,2017,Year,3
2018,2018,Year,3
Goodnight Irene,Goodnight Irene,Song,2
Mona Lisa,Mona Lisa,Song,2
Too Young,Too Young,Song,2
Because of You,Because of You,Song,2
Blue Tango,Blue Tango,Song,2
Wheel of Fortune,Wheel of Fortune,Song,2
The Song from Moulin Rouge,The Song from Moulin Rouge,Song,2
Vaya con Dios,Vaya con Dios,Song,2
Little Things Mean a Lot,Little Things Mean a Lot,Song,2
Wanted,Wanted,Song,2
Cherry Pink And Apple Blossom White,Cherry Pink And Apple Blossom White,Song,2
Rock Around the Clock,Rock Around the Clock,Song,2
Heartbreak Hotel,Heartbreak Hotel,Song,2
Don't Be Cruel,Don't Be Cruel,Song,2
All Shook Up,All Shook Up,Song,2
Love Letters in the Sand,Love Letters in the Sand,Song,2
Volare (Nel blu dipinto di blu),Volare (Nel blu dipinto di blu),Song,2
All I Have to Do Is Dream / Claudette,All I Have to Do Is Dream / Claudette,Song,2
The Battle of New Orleans,The Battle of New Orleans,Song,2
Mack the Knife,Mack the Knife,Song,2
Theme from A Summer Place,Theme from A Summer Place,Song,2
He'll Have to Go,He'll Have to Go,Song,2
Tossin' and Turnin',Tossin' and Turnin',Song,2
I Fall to Pieces,I Fall to Pieces,Song,2
Stranger on the Shore,Stranger on the Shore,Song,2
I Can't Stop Loving You,I Can't Stop Loving You,Song,2
Surfin' U.S.A.,Surfin' U.S.A.,Song,2
The End of the World,The End of the World,Song,2
I Want to Hold Your Hand,I Want to Hold Your Hand,Song,2
She Loves You,She Loves You,Song,2
Wooly Bully,Wooly Bully,Song,2
I Can't Help Myself (Sugar Pie Honey Bunch),I Can't Help Myself (Sugar Pie Honey Bunch),Song,2
California Dreamin',California Dreamin',Song,2
96 Tears,96 Tears,Song,2
To Sir With Love,To Sir With Love,Song,2
The Letter,The Letter,Song,2
Hey Jude,Hey Jude,Song,2
Love is Blue,Love is Blue,Song,2
"Sugar, Sugar","Sugar, Sugar",Song,2
Aquarius/Let the Sunshine In,Aquarius/Let the Sunshine In,Song,2
Bridge Over Troubled Water,Bridge Over Troubled Water,Song,2
(They Long to Be) Close to You,(They Long to Be) Close to You,Song,2
Joy to the World,Joy to the World,Song,2
Maggie May/Reason to Believe,Maggie May/Reason to Believe,Song,2
The First Time Ever I Saw Your Face,The First Time Ever I Saw Your Face,Song,2
Alone Again (Naturally),Alone Again (Naturally),Song,2
Tie a Yellow Ribbon Round the Ole Oak Tree,Tie a Yellow Ribbon Round the Ole Oak Tree,Song,2
"Bad, Bad Leroy Brown","Bad, Bad Leroy Brown",Song,2
The Way We Were,The Way We Were,Song,2
Seasons in the Sun,Seasons in the Sun,Song,2
Love Will Keep Us Together,Love Will Keep Us Together,Song,2
Rhinestone Cowboy,Rhinestone Cowboy,Song,2
Silly Love Songs,Silly Love Songs,Song,2
Don't Go Breaking My Heart,Don't Go Breaking My Heart,Song,2
Tonight's the Night (Gonna Be Alright),Tonight's the Night (Gonna Be Alright),Song,2
I Just Want to Be Your Everything,I Just Want to Be Your Everything,Song,2
Shadow Dancing,Shadow Dancing,Song,2
Night Fever,Night Fever,Song,2
My Sharona,My Sharona,Song,2
Bad Girls,Bad Girls,Song,2
Call Me,Call Me,Song,2
"Another Brick in the Wall, Part II","Another Brick in the Wall, Part II",Song,2
Bette Davis Eyes,Bette Davis Eyes,Song,2
Endless Love,Endless Love,Song,2
Physical,Physical,Song,2
Eye of the Tiger,Eye of the Tiger,Song,2
Every Breath You Take,Every Breath You Take,Song,2
Billie Jean,Billie Jean,Song,2
When Doves Cry,When Doves Cry,Song,2
What's Love Got to Do with It,What's Love Got to Do with It,Song,2
Careless Whisper,Careless Whisper,Song,2
Like a Virgin,Like a Virgin,Song,2
That's What Friends Are For,That's What Friends Are For,Song,2
"Say You, Say Me","Say You, Say Me",Song,2
Walk Like an Egyptian,Walk Like an Egyptian,Song,2
Alone,Alone,Song,2
Faith,Faith,Song,2
Need You Tonight,Need You Tonight,Song,2
Look Away,Look Away,Song,2
My Prerogative,My Prerogative,Song,2
Hold On,Hold On,Song,2
It Must Have Been Love,It Must Have Been Love,Song,2
(Everything I Do) I Do It for You,(Everything I Do) I Do It for You,Song,2
I Wanna Sex You Up,I Wanna Sex You Up,Song,2
End of the Road,End of the Road,Song,2
